k;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value
4;chr3:38586516-38586674, chr6:4511516-4511645, chr2:127862609-127862665, chr2:97561594-97561991; chr5:153667008..153667036,+, chr19:55659305..55659330,-, chr19:4279647..4279659,+, chr19:4279360..4279365,+; 55.432612256545632; chr3:38586516-38586674, chr6:4511516-4511645, chr2:127862609-127862665, chr2:97561594-97561991; chr5:153667008..153667036,+, chr17:45286297..45286312,+, chr19:4279647..4279659,+, chr11:85090268..85090294,-; 55.258321477213542; chr3:38586516-38586674, chr6:4511516-4511645, chr2:127862609-127862665, chr2:97561594-97561991; chr5:153667008..153667036,+, chr17:45286297..45286312,+, chr19:4279647..4279659,+, chr11:47470490..47470498,-; 55.155701672560063; chr3:38586516-38586674, chr6:4511516-4511645, chr2:127862609-127862665, chr2:97561594-97561991; chr5:153667008..153667036,+, chr19:55659305..55659330,-, chr19:4279647..4279659,+, chr1:18957333..18957375,+; 54.409671981587181; chr3:38586516-38586674, chr6:4511516-4511645, chr2:127862609-127862665, chr2:97561594-97561991; chr5:153667008..153667036,+, chr17:45286297..45286312,+, chr19:4279647..4279659,+, chr1:18957333..18957375,+; 53.846077498887155
;Skeletal Muscle Satellite Cells;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr8:94410297-94410678, chr9:18857353-18857783; chr11:85090268..85090294,-, chr8:101931669..101931673,-; 24.644804307352548; chr8:94410297-94410678, chr9:18857353-18857783; chr11:85090268..85090294,-, chr5:136193190..136193214,+; 23.28598956835199; chr8:94410297-94410678, chr9:18857353-18857783; chr11:85090268..85090294,-, chr10:102107051..102107062,+; 22.131927735228231; chr8:94410297-94410678, chr9:18857353-18857783; chr9:103340354..103340367,+, chr10:102107051..102107062,+; 15.958317391367258; chr8:94410297-94410678, chr9:18857353-18857783; chr9:103340354..103340367,+, chr8:101931669..101931673,-; 14.953166762517533
3;chr8:94410297-94410678, chr9:18857353-18857783, chr10:3094057-3094288; chr11:85090268..85090294,-, chr10:102107051..102107062,+, chr4:19457034..19457063,+; 44.36797404651341; chr8:94410297-94410678, chr9:18857353-18857783, chr10:3094057-3094288; chr11:85090268..85090294,-, chr10:102107051..102107062,+, chr19:51003540..51003559,-; 44.149916531934949; chr8:94410297-94410678, chr9:18857353-18857783, chr10:3094057-3094288; chr11:85090268..85090294,-, chr10:102107051..102107062,+, chr12:54378515..54378537,-; 43.974932106655935; chr8:94410297-94410678, chr9:18857353-18857783, chr10:3094057-3094288; chr11:85090268..85090294,-, chr10:102107051..102107062,+, chr12:66036137..66036157,-; 43.56573775831118; chr8:94410297-94410678, chr9:18857353-18857783, chr10:3094057-3094288; chr11:85090268..85090294,-, chr10:102107051..102107062,+, chr1:203055129..203055147,-; 43.353064379895144
4;chr8:94410297-94410678, chr9:18857353-18857783, chr10:3094057-3094288, chr22:36245846-36246212; chr10:102107051..102107062,+, chr11:85090268..85090294,-, chr19:51003506..51003537,-, chr16:31439646..31439688,-; 50.44170620165287; chr8:94410297-94410678, chr9:18857353-18857783, chr10:3094057-3094288, chr22:36245846-36246212; chr10:102107051..102107062,+, chr11:85090268..85090294,-, chr6:52001069..52001073,+, chr19:51003540..51003559,-; 48.936615733401908; chr8:94410297-94410678, chr9:18857353-18857783, chr10:3094057-3094288, chr22:36245846-36246212; chr10:102107051..102107062,+, chr6:52001069..52001073,+, chr19:51003506..51003537,-, chr16:31439646..31439688,-; 48.21176155767499; chr8:94410297-94410678, chr9:18857353-18857783, chr10:3094057-3094288, chr22:36245846-36246212; chr10:102107051..102107062,+, chr11:85090268..85090294,-, chr6:52001069..52001073,+, chr19:51003506..51003537,-; 48.195472699793484; chr8:94410297-94410678, chr9:18857353-18857783, chr10:3094057-3094288, chr22:36245846-36246212; chr10:102107051..102107062,+, chr6:52001069..52001073,+, chr19:51003506..51003537,-, chr19:51003540..51003559,-; 48.052130750436248
;Small Airway Epithelial Cells;;;;;;;;;;;;;;
1;chr3:98044011-98044208,; chr11:2357360..2357365,+,; 58.732216443107198;;;;;;;;;;;;
2;chr3:98044011-98044208, chr3:122648361-122648742; chr11:2357360..2357365,+, chr5:146263947..146263959,-; 73.071968863970525; chr3:98044011-98044208, chr3:122648361-122648742; chr11:2357360..2357365,+, chr8:95654740..95654788,+; 72.69348621977403; chr3:98044011-98044208, chr3:122648361-122648742; chr11:2357360..2357365,+, chr6:64237849..64237860,+; 72.457710146340148; chr3:98044011-98044208, chr3:122648361-122648742; chr11:2357360..2357365,+, chr14:36988729..36988748,-; 71.731768025504223; chr3:98044011-98044208, chr3:122648361-122648742; chr11:2357360..2357365,+, chr19:42260585..42260611,+; 71.700744857947143
3;chr3:98044011-98044208, chr3:122648361-122648742, chr7:98871923-98872129; chr11:2357360..2357365,+, chr2:85895315..85895331,-, chr16:57954525..57954533,-; 81.892711030576891; chr3:98044011-98044208, chr3:122648361-122648742, chr7:98871923-98872129; chr11:2357360..2357365,+, chr2:85895315..85895331,-, chr3:149510332..149510349,-; 80.113254028893408; chr3:98044011-98044208, chr3:122648361-122648742, chr7:98871923-98872129; chr11:2357360..2357365,+, chr2:85895315..85895331,-, chrX:102977640..102977644,-; 77.547713147495003; chr3:98044011-98044208, chr3:122648361-122648742, chr7:98871923-98872129; chr11:2357360..2357365,+, chr2:85895315..85895331,-, chr2:186611438..186611463,+; 76.648562408369031; chr3:98044011-98044208, chr3:122648361-122648742, chr7:98871923-98872129; chr11:2357360..2357365,+, chr2:85895315..85895331,-, chr14:36988729..36988748,-; 75.978237456146346
4;chr3:98044011-98044208, chr3:122648361-122648742, chr7:98871923-98872129, chr14:34532843-34533079; chr11:2357360..2357365,+, chr2:85895315..85895331,-, chr2:186611438..186611463,+, chr3:149510332..149510349,-; 82.481889654570864; chr3:98044011-98044208, chr3:122648361-122648742, chr7:98871923-98872129, chr14:34532843-34533079; chr11:2357360..2357365,+, chr2:85895315..85895331,-, chr2:186611438..186611463,+, chr16:57954525..57954533,-; 82.099101494355523; chr3:98044011-98044208, chr3:122648361-122648742, chr7:98871923-98872129, chr14:34532843-34533079; chr11:2357360..2357365,+, chr2:85895315..85895331,-, chr2:186611438..186611463,+, chr12:111472632..111472643,+; 82.02254386231246; chr3:98044011-98044208, chr3:122648361-122648742, chr7:98871923-98872129, chr14:34532843-34533079; chr11:2357360..2357365,+, chr10:51549546..51549557,+, chr2:186611438..186611463,+, chr12:111472632..111472643,+; 79.263211337185709; chr3:98044011-98044208, chr3:122648361-122648742, chr7:98871923-98872129, chr14:34532843-34533079; chr11:2357360..2357365,+, chr10:51549546..51549557,+, chr2:186611438..186611463,+, chr3:149510332..149510349,-; 78.118104628115987
;Smooth Muscle Cells - Brachiocephalic;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr1:219240049-219240272, chr7:107999064-107999449; chr3:112081052..112081065,-, chr4:74609250..74609270,+; 46.727094974489432; chr1:219240049-219240272, chr7:107999064-107999449; chr3:112081052..112081065,-, chr3:194307811..194307826,-; 45.473759005182991; chr1:219240049-219240272, chr7:107999064-107999449; chr3:112081052..112081065,-, chr2:161237614..161237627,-; 43.289728009163824; chr1:219240049-219240272, chr7:107999064-107999449; chr3:112081052..112081065,-, chr6:53359400..53359406,+; 42.514148820236571; chr1:219240049-219240272, chr7:107999064-107999449; chr3:112081052..112081065,-, chr17:67875049..67875058,+; 42.340419081916863
3;chr1:219240049-219240272, chr7:107999064-107999449, chr9:119034263-119034570; chr3:112081052..112081065,-, chr2:161237614..161237627,-, chr2:113587826..113587861,-; 55.49698349425848; chr1:219240049-219240272, chr7:107999064-107999449, chr9:119034263-119034570; chr3:112081052..112081065,-, chr4:70861675..70861691,+, chr2:113587826..113587861,-; 55.136246371375584; chr1:219240049-219240272, chr7:107999064-107999449, chr9:119034263-119034570; chr3:112081052..112081065,-, chr2:161237614..161237627,-, chr6:53359400..53359406,+; 54.552067597751808; chr1:219240049-219240272, chr7:107999064-107999449, chr9:119034263-119034570; chr3:112081052..112081065,-, chr4:70861675..70861691,+, chr6:53359400..53359406,+; 54.543991393508172; chr1:219240049-219240272, chr7:107999064-107999449, chr9:119034263-119034570; chr3:112081052..112081065,-, chr2:161237614..161237627,-, chr4:74702707..74702718,+; 53.286795599580508
4;chr1:219240049-219240272, chr7:107999064-107999449, chr9:119034263-119034570, chr4:169992046-169992220; chr3:112081052..112081065,-, chr2:161237614..161237627,-, chr4:74609250..74609270,+, chr2:113587826..113587861,-; 63.453245877398111; chr1:219240049-219240272, chr7:107999064-107999449, chr9:119034263-119034570, chr4:169992046-169992220; chr3:112081052..112081065,-, chr4:70861675..70861691,+, chr4:74609250..74609270,+, chr17:67875049..67875058,+; 63.081859917699823; chr1:219240049-219240272, chr7:107999064-107999449, chr9:119034263-119034570, chr4:169992046-169992220; chr3:112081052..112081065,-, chr2:161237614..161237627,-, chr4:70861675..70861691,+, chr4:74703834..74703849,+; 62.809835991078714; chr1:219240049-219240272, chr7:107999064-107999449, chr9:119034263-119034570, chr4:169992046-169992220; chr3:112081052..112081065,-, chr2:161237614..161237627,-, chr4:74609250..74609270,+, chr4:74702707..74702718,+; 62.752824988493451; chr1:219240049-219240272, chr7:107999064-107999449, chr9:119034263-119034570, chr4:169992046-169992220; chr3:112081052..112081065,-, chr2:161237614..161237627,-, chr4:70861675..70861691,+, chr6:53359400..53359406,+; 62.324428026209901
;Smooth Muscle Cells - Brain Vascular;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr4:87615730-87616123, chr3:179431401-179431712; chr3:79817136..79817155,-, chr9:139874503..139874516,-; 25.736819805362128; chr4:87615730-87616123, chr3:179431401-179431712; chr3:79817136..79817155,-, chr12:10311386..10311401,-; 24.830943312695091; chr4:87615730-87616123, chr3:179431401-179431712; chr3:79817136..79817155,-, chr1:94639433..94639448,-; 24.37800506636157; chr4:87615730-87616123, chr3:179431401-179431712; chr3:79817136..79817155,-, chr14:48145254..48145316,-; 23.84440658437962; chr4:87615730-87616123, chr3:179431401-179431712; chr3:79817136..79817155,-, chr10:96046777..96046788,-; 23.707904647128423
3;chr4:87615730-87616123, chr3:179431401-179431712, chr14:65121699-65122212; chr9:139874503..139874516,-, chr3:79817162..79817175,-, chr10:96046777..96046788,-; 44.168761008503452; chr4:87615730-87616123, chr3:179431401-179431712, chr14:65121699-65122212; chr9:139874503..139874516,-, chr3:79817162..79817175,-, chr6:72970377..72970387,+; 41.953188977663061; chr4:87615730-87616123, chr3:179431401-179431712, chr14:65121699-65122212; chr9:139874503..139874516,-, chr3:147127904..147127942,+, chr10:96046777..96046788,-; 40.749834545359711; chr4:87615730-87616123, chr3:179431401-179431712, chr14:65121699-65122212; chr9:139874503..139874516,-, chr3:79817162..79817175,-, chr3:79817136..79817155,-; 40.294875039634285; chr4:87615730-87616123, chr3:179431401-179431712, chr14:65121699-65122212; chr9:139874503..139874516,-, chr3:79817162..79817175,-, chr1:94639433..94639448,-; 40.049896844243676
4;chr4:87615730-87616123, chr3:179431401-179431712, chr14:65121699-65122212, chr3:147142201-147142415; chr3:147127904..147127942,+, chr3:79817162..79817175,-, chr3:11034403..11034492,+, chr9:139874503..139874516,-; 36.705312350180698; chr4:87615730-87616123, chr3:179431401-179431712, chr14:65121699-65122212, chr3:147142201-147142415; chr3:147127904..147127942,+, chr3:79817162..79817175,-, chr3:147111285..147111298,+, chr9:139874503..139874516,-; 36.092851293836155; chr4:87615730-87616123, chr3:179431401-179431712, chr14:65121699-65122212, chr3:147142201-147142415; chr3:147127904..147127942,+, chr3:11034403..11034492,+, chr3:147111285..147111298,+, chr9:139874503..139874516,-; 35.04547773205546; chr4:87615730-87616123, chr3:179431401-179431712, chr14:65121699-65122212, chr3:147142201-147142415; chr3:147127904..147127942,+, chr3:79817162..79817175,-, chr3:11034403..11034492,+, chr10:96046777..96046788,-; 33.755400187840351; chr4:87615730-87616123, chr3:179431401-179431712, chr14:65121699-65122212, chr3:147142201-147142415; chr3:147127904..147127942,+, chr3:79817162..79817175,-, chr3:11034403..11034492,+, chr1:94639433..94639448,-; 33.672327012644686
;Smooth Muscle Cells - Carotid;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;No VEnCode;;;;;;;;;;;;;;
3;chr7:34316740-34316919, chr5:73114160-73114455, chr5:142916050-142916194; chr1:201708445..201708465,+, chr11:66445293..66445303,+, chr5:32711680..32711686,+; 6.9374594452924612; chr7:34316740-34316919, chr5:73114160-73114455, chr5:142916050-142916194; chr1:201708445..201708465,+, chr11:66445293..66445303,+, chr11:122238574..122238595,-; 6.7678591561758816; chr7:34316740-34316919, chr5:73114160-73114455, chr5:142916050-142916194; chr1:201708445..201708465,+, chr11:66445293..66445303,+, chr3:194299051..194299068,+; 6.6063350713029489; chr7:34316740-34316919, chr5:73114160-73114455, chr5:142916050-142916194; chr5:32711680..32711686,+, chr22:19748231..19748317,+, chr6:27777866..27777868,+; 6.1459914294150906; chr7:34316740-34316919, chr5:73114160-73114455, chr5:142916050-142916194; chr5:32711680..32711686,+, chr22:19748231..19748317,+, chr11:66445293..66445303,+; 5.7098764002581719
4;chr7:34316740-34316919, chr5:73114160-73114455, chr5:142916050-142916194, chr12:57520981-57521279; chr9:91793624..91793649,-, chr1:201708445..201708465,+, chr22:41681706..41681732,+, chr20:1569332..1569349,-; 12.301345472111681; chr7:34316740-34316919, chr5:73114160-73114455, chr5:142916050-142916194, chr12:57520981-57521279; chr9:91793624..91793649,-, chr1:201708445..201708465,+, chr22:41681706..41681732,+, chr11:102668234..102668245,-; 11.734493217835348; chr7:34316740-34316919, chr5:73114160-73114455, chr5:142916050-142916194, chr12:57520981-57521279; chr9:91793624..91793649,-, chr1:201708445..201708465,+, chr22:41681706..41681732,+, chr19:18319183..18319194,+; 10.625221996104939; chr7:34316740-34316919, chr5:73114160-73114455, chr5:142916050-142916194, chr12:57520981-57521279; chr9:91793624..91793649,-, chr1:201708445..201708465,+, chr22:41681706..41681732,+, chr11:102667477..102667490,-; 10.610562024011584; chr7:34316740-34316919, chr5:73114160-73114455, chr5:142916050-142916194, chr12:57520981-57521279; chr9:91793624..91793649,-, chr1:201708445..201708465,+, chr22:41681706..41681732,+, chr11:102668074..102668126,-; 10.610562024011584
;Smooth Muscle Cells - Colonic;;;;;;;;;;;;;;
1;chrX:149186886-149187270,; chr10:101292731..101292741,+,; 56.795494581869768; chrX:149186886-149187270,; chr5:10237680..10237685,+,; 43.598761899484487; chrX:149186886-149187270,; chr10:101292684..101292706,+,; 33.014351727605508;;;;;;
2;chrX:149186886-149187270, chr16:86229284-86229646; chr10:101292731..101292741,+, chr5:10237680..10237685,+; 72.494937947408658; chrX:149186886-149187270, chr16:86229284-86229646; chr10:101292731..101292741,+, chr3:150966718..150966738,-; 66.197234933319322; chrX:149186886-149187270, chr16:86229284-86229646; chr10:101292731..101292741,+, chr3:150966697..150966714,-; 66.042119095533863; chrX:149186886-149187270, chr16:86229284-86229646; chr10:101292731..101292741,+, chr10:101292684..101292706,+; 58.906790557403099; chrX:149186886-149187270, chr16:86229284-86229646; chr10:101292731..101292741,+, chr2:114300263..114300269,-; 57.783751891836424
3;chrX:149186886-149187270, chr16:86229284-86229646, chr16:86232149-86232606; chr10:101292731..101292741,+, chr3:150966718..150966738,-, chr5:10237680..10237685,+; 78.524933860976248; chrX:149186886-149187270, chr16:86229284-86229646, chr16:86232149-86232606; chr10:101292731..101292741,+, chr3:150966697..150966714,-, chr5:10237680..10237685,+; 75.345601457060681; chrX:149186886-149187270, chr16:86229284-86229646, chr16:86232149-86232606; chr10:101292731..101292741,+, chr3:150966718..150966738,-, chr3:150966697..150966714,-; 68.373145126712416; chrX:149186886-149187270, chr16:86229284-86229646, chr16:86232149-86232606; chr10:101292731..101292741,+, chr3:150966697..150966714,-, chr2:114300263..114300269,-; 68.171240020621255; chrX:149186886-149187270, chr16:86229284-86229646, chr16:86232149-86232606; chr10:101292731..101292741,+, chr3:150966697..150966714,-, chr16:86229916..86229943,+; 67.767429808438933
4;chrX:149186886-149187270, chr16:86229284-86229646, chr16:86232149-86232606, chr20:42948601-42948866; chr3:150966718..150966738,-, chr3:150966697..150966714,-, chr10:101292731..101292741,+, chr5:10237680..10237685,+; 81.851510854556665; chrX:149186886-149187270, chr16:86229284-86229646, chr16:86232149-86232606, chr20:42948601-42948866; chr3:150966718..150966738,-, chr3:150966697..150966714,-, chr10:101292731..101292741,+, chr20:49269691..49269695,+; 80.823683922233784; chrX:149186886-149187270, chr16:86229284-86229646, chr16:86232149-86232606, chr20:42948601-42948866; chr3:150966718..150966738,-, chr10:101292731..101292741,+, chr20:49269691..49269695,+, chr5:10237680..10237685,+; 80.646135371325386; chrX:149186886-149187270, chr16:86229284-86229646, chr16:86232149-86232606, chr20:42948601-42948866; chr3:150966718..150966738,-, chr3:150966697..150966714,-, chr10:101292731..101292741,+, chr4:148885940..148885946,+; 79.937570053479973; chrX:149186886-149187270, chr16:86229284-86229646, chr16:86232149-86232606, chr20:42948601-42948866; chr3:150966718..150966738,-, chr3:150966697..150966714,-, chr10:101292731..101292741,+, chr16:86229728..86229756,+; 78.258188805896921
;Smooth Muscle Cells - Coronary Artery;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;No VEnCode;;;;;;;;;;;;;;
3;chr14:65748716-65749124, chr19:52049983-52050318, chr12:127742241-127742510; chr1:179712410..179712437,+, chr17:37618257..37618293,+, chr14:45251956..45251976,-; 24.16131102890952; chr14:65748716-65749124, chr19:52049983-52050318, chr12:127742241-127742510; chr1:179712410..179712437,+, chr17:37618257..37618293,+, chr3:112081052..112081065,-; 23.808650110270285; chr14:65748716-65749124, chr19:52049983-52050318, chr12:127742241-127742510; chr1:179712410..179712437,+, chr17:37618257..37618293,+, chr17:77018953..77018966,+; 22.879886622250918; chr14:65748716-65749124, chr19:52049983-52050318, chr12:127742241-127742510; chr1:179712410..179712437,+, chr17:37618257..37618293,+, chr17:67875049..67875058,+; 22.279555440139855; chr14:65748716-65749124, chr19:52049983-52050318, chr12:127742241-127742510; chr1:179712410..179712437,+, chr17:37618257..37618293,+, chr11:102666314..102666319,-; 21.967275542718852
4;chr14:65748716-65749124, chr19:52049983-52050318, chr12:127742241-127742510, chr14:65691594-65691779; chr2:113587914..113587925,+, chr1:40839478..40839487,+, chr1:179712410..179712437,+, chr17:77018953..77018966,+; 39.213796463932283; chr14:65748716-65749124, chr19:52049983-52050318, chr12:127742241-127742510, chr14:65691594-65691779; chr2:113587914..113587925,+, chr1:40839478..40839487,+, chr1:179712410..179712437,+, chr4:74703561..74703579,+; 37.408991010661659; chr14:65748716-65749124, chr19:52049983-52050318, chr12:127742241-127742510, chr14:65691594-65691779; chr2:113587914..113587925,+, chr1:40839478..40839487,+, chr1:179712410..179712437,+, chr14:45251956..45251976,-; 35.972313745513027; chr14:65748716-65749124, chr19:52049983-52050318, chr12:127742241-127742510, chr14:65691594-65691779; chr2:113587914..113587925,+, chr1:40839478..40839487,+, chr1:179712410..179712437,+, chr11:102667421..102667432,-; 35.964169316572267; chr14:65748716-65749124, chr19:52049983-52050318, chr12:127742241-127742510, chr14:65691594-65691779; chr2:113587914..113587925,+, chr1:40839478..40839487,+, chr1:179712410..179712437,+, chr2:113587636..113587648,-; 34.91028021163897
;Smooth Muscle Cells - Internal Thoracic Artery;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;No VEnCode;;;;;;;;;;;;;;
3;chr4:38143865-38144232, chr5:150004824-150005027, chr8:90556024-90556173; chr11:4718911..4718938,-, chr7:27213258..27213279,-, chr4:70861675..70861691,+; 28.509000980072628; chr4:38143865-38144232, chr5:150004824-150005027, chr8:90556024-90556173; chr11:4718911..4718938,-, chr7:27213258..27213279,-, chrX:107681486..107681503,-; 24.301298569132729; chr4:38143865-38144232, chr5:150004824-150005027, chr8:90556024-90556173; chr11:4718911..4718938,-, chr7:27213258..27213279,-, chr3:151531810..151531849,+; 23.784421497539341; chr4:38143865-38144232, chr5:150004824-150005027, chr8:90556024-90556173; chr11:4718911..4718938,-, chr7:27213258..27213279,-, chr22:21138343..21138378,+; 22.737207013946495; chr4:38143865-38144232, chr5:150004824-150005027, chr8:90556024-90556173; chr11:4718911..4718938,-, chr7:27213258..27213279,-, chr22:21138313..21138336,+; 21.558081194374086
4;chr4:38143865-38144232, chr5:150004824-150005027, chr8:90556024-90556173, chr11:62211244-62211404; chr11:4718911..4718938,-, chr7:27157834..27157879,-, chr4:70861675..70861691,+, chr3:67141193..67141198,+; 34.547038680881442; chr4:38143865-38144232, chr5:150004824-150005027, chr8:90556024-90556173, chr11:62211244-62211404; chr11:4718911..4718938,-, chr7:27157834..27157879,-, chr4:70861675..70861691,+, chr3:190953512..190953525,-; 30.481339753658087; chr4:38143865-38144232, chr5:150004824-150005027, chr8:90556024-90556173, chr11:62211244-62211404; chr11:4718911..4718938,-, chr7:27157834..27157879,-, chr4:70861675..70861691,+, chr3:106569465..106569481,-; 29.665267973794744; chr4:38143865-38144232, chr5:150004824-150005027, chr8:90556024-90556173, chr11:62211244-62211404; chr11:4718911..4718938,-, chr7:27157834..27157879,-, chr4:70861675..70861691,+, chr10:4823096..4823144,-; 29.259675412545299; chr4:38143865-38144232, chr5:150004824-150005027, chr8:90556024-90556173, chr11:62211244-62211404; chr11:4718911..4718938,-, chr7:27157834..27157879,-, chr1:215157211..215157225,+, chr5:54281153..54281165,-; 28.352386028545538
;Smooth Muscle Cells - Prostate;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr21:40477146-40477494, chr15:76639629-76639850; chr3:190917023..190917037,+, chr7:27239703..27239715,-; 41.881276202071923; chr21:40477146-40477494, chr15:76639629-76639850; chr3:190917023..190917037,+, chr16:86547373..86547391,+; 41.260812850930122; chr21:40477146-40477494, chr15:76639629-76639850; chr3:190917023..190917037,+, chr7:27239740..27239759,-; 39.802723975746879; chr21:40477146-40477494, chr15:76639629-76639850; chr3:190917023..190917037,+, chr7:27229042..27229064,-; 37.674534681330478; chr21:40477146-40477494, chr15:76639629-76639850; chr3:190917023..190917037,+, chr9:101832878..101832888,+; 35.043770072489224
3;chr21:40477146-40477494, chr15:76639629-76639850, chr19:18760437-18760612; chr3:190917023..190917037,+, chr7:27239740..27239759,-, chr16:86547373..86547391,+; 44.494501246330536; chr21:40477146-40477494, chr15:76639629-76639850, chr19:18760437-18760612; chr3:190917023..190917037,+, chr9:101832878..101832888,+, chr7:27239703..27239715,-; 44.279135799833291; chr21:40477146-40477494, chr15:76639629-76639850, chr19:18760437-18760612; chr3:190917023..190917037,+, chr7:27239740..27239759,-, chr9:101832878..101832888,+; 42.615437725642089; chr21:40477146-40477494, chr15:76639629-76639850, chr19:18760437-18760612; chr3:190917023..190917037,+, chr9:101832878..101832888,+, chr7:27229008..27229027,-; 41.363626067876858; chr21:40477146-40477494, chr15:76639629-76639850, chr19:18760437-18760612; chr3:190917023..190917037,+, chr7:27239740..27239759,-, chr9:101706279..101706284,+; 41.075574783186795
4;chr21:40477146-40477494, chr15:76639629-76639850, chr19:18760437-18760612, chr16:14050567-14050869; chr3:190917023..190917037,+, chr7:27239740..27239759,-, chr7:27239703..27239715,-, chr16:86547373..86547391,+; 56.124888716509545; chr21:40477146-40477494, chr15:76639629-76639850, chr19:18760437-18760612, chr16:14050567-14050869; chr3:190917023..190917037,+, chr7:27239740..27239759,-, chr9:101832878..101832888,+, chr16:86547373..86547391,+; 51.919105611505259; chr21:40477146-40477494, chr15:76639629-76639850, chr19:18760437-18760612, chr16:14050567-14050869; chr3:190917023..190917037,+, chr9:101832878..101832888,+, chr7:27239703..27239715,-, chr16:86547373..86547391,+; 49.503467987678249; chr21:40477146-40477494, chr15:76639629-76639850, chr19:18760437-18760612, chr16:14050567-14050869; chr3:190917023..190917037,+, chr7:27239740..27239759,-, chr7:27239703..27239715,-, chr9:101705803..101705818,+; 47.807797882213691; chr21:40477146-40477494, chr15:76639629-76639850, chr19:18760437-18760612, chr16:14050567-14050869; chr3:190917023..190917037,+, chr7:27239740..27239759,-, chr7:27239703..27239715,-, chr7:27229008..27229027,-; 47.280038886852971
;Smooth Muscle Cells - Pulmonary Artery;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr5:99931309-99931404, chr20:48190419-48190797; chr8:55370884..55370896,+, chr4:16900219..16900230,-; 19.687302131729517; chr5:99931309-99931404, chr20:48190419-48190797; chr2:110873631..110873652,-, chr12:28125659..28125672,-; 18.030664984180891; chr5:99931309-99931404, chr20:48190419-48190797; chr8:55370884..55370896,+, chr2:110873631..110873652,-; 16.72148731327168; chr5:99931309-99931404, chr20:48190419-48190797; chr8:55370884..55370896,+, chr14:38725257..38725276,-; 16.361618569609433; chr5:99931309-99931404, chr20:48190419-48190797; chr8:55370884..55370896,+, chr1:203097407..203097476,+; 15.716336684421952
3;chr5:99931309-99931404, chr20:48190419-48190797, chr20:48179009-48179108; chr4:16900219..16900230,-, chr8:55370884..55370896,+, chr12:28125659..28125672,-; 24.788562891832743; chr5:99931309-99931404, chr20:48190419-48190797, chr20:48179009-48179108; chr4:16900219..16900230,-, chr8:55370884..55370896,+, chr4:11545590..11545602,+; 23.805958042189072; chr5:99931309-99931404, chr20:48190419-48190797, chr20:48179009-48179108; chr4:16900219..16900230,-, chr8:55370884..55370896,+, chr8:11561684..11561751,+; 21.908050044932111; chr5:99931309-99931404, chr20:48190419-48190797, chr20:48179009-48179108; chr4:16900219..16900230,-, chr8:55370884..55370896,+, chr19:46476791..46476819,-; 20.901216582557495; chr5:99931309-99931404, chr20:48190419-48190797, chr20:48179009-48179108; chr4:16900219..16900230,-, chr8:55370884..55370896,+, chr8:55370720..55370733,+; 20.836606948608324
4;chr5:99931309-99931404, chr20:48190419-48190797, chr20:48179009-48179108, chr19:4584891-4584944; chr8:55370884..55370896,+, chr14:105419932..105419953,-, chr4:11545590..11545602,+, chr8:11561684..11561751,+; 29.748341148990416; chr5:99931309-99931404, chr20:48190419-48190797, chr20:48179009-48179108, chr19:4584891-4584944; chr8:55370884..55370896,+, chr14:105419932..105419953,-, chr4:11545590..11545602,+, chr12:28125659..28125672,-; 29.196148866807437; chr5:99931309-99931404, chr20:48190419-48190797, chr20:48179009-48179108, chr19:4584891-4584944; chr8:55370884..55370896,+, chr14:105419932..105419953,-, chr4:11545590..11545602,+, chr10:4823096..4823144,-; 28.03475329985622; chr5:99931309-99931404, chr20:48190419-48190797, chr20:48179009-48179108, chr19:4584891-4584944; chr8:55370884..55370896,+, chr14:105419932..105419953,-, chr4:11545590..11545602,+, chr2:133429062..133429090,-; 28.008691127245804; chr5:99931309-99931404, chr20:48190419-48190797, chr20:48179009-48179108, chr19:4584891-4584944; chr8:55370884..55370896,+, chr14:105419932..105419953,-, chr10:4823096..4823144,-, chr8:11561684..11561751,+; 27.430436672452423
;Smooth Muscle Cells - Subclavian Artery;;;;;;;;;;;;;;
1;chr17:77018441-77018844,; chr19:41698927..41698955,+,; 29.276028134984415;;;;;;;;;;;;
2;chr17:77018441-77018844, chr21:43068970-43069202; chr19:41698927..41698955,+, chr10:105877830..105877834,+; 36.45842651309254; chr17:77018441-77018844, chr21:43068970-43069202; chr19:41698927..41698955,+, chr12:96830430..96830450,+; 35.248522978366019; chr17:77018441-77018844, chr21:43068970-43069202; chr19:41698927..41698955,+, chr4:74608965..74608975,+; 35.18027200974042; chr17:77018441-77018844, chr21:43068970-43069202; chr19:41698927..41698955,+, chr17:77018898..77018919,+; 34.35505575272181; chr17:77018441-77018844, chr21:43068970-43069202; chr19:41698927..41698955,+, chr12:71551618..71551630,-; 32.834920542424392
